iteration,scenario,monitoring_cost_pct,monitoring_cost_euro,implementation_cost_pct,implementation_cost_euro,total_governance_cost_pct,total_governance_cost_euro,disbursement_lag_months,mobilization_ratio,gross_mobilization_ratio,net_mobilization_ratio,risk_premium_bps,mrv_reduction,lag_reduction,effective_lag_reduction,risk_premium_reduction_bps,effective_risk_premium_reduction_bps,bluewashing_risk_reduction,effective_bluewashing_reduction,legal_uncertainty_penalty,oracle_failure_risk,adoption_friction,gross_benefit,penalty_factor,net_benefit
1,Traditional Governance,0.03991437765183445,3991437.765183445,0.0,0.0,0.03991437765183445,3991437.765183445,4.878963756162218,4.223969728161238,4.223969728161238,4.223969728161238,291.6608613500591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Traditional Governance,0.034053302027937195,3405330.2027937192,0.0,0.0,0.034053302027937195,3405330.2027937192,4.860074531662713,4.72673524763072,4.72673524763072,4.72673524763072,295.8811710315251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Traditional Governance,0.04202309984769285,4202309.984769285,0.0,0.0,0.04202309984769285,4202309.984769285,3.9550537366425824,3.42902173523474,3.42902173523474,3.42902173523474,341.2533957879743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Traditional Governance,0.038330193363929024,3833019.3363929023,0.0,0.0,0.038330193363929024,3833019.3363929023,3.406139481283299,3.7599079177566925,3.7599079177566925,3.7599079177566925,270.51756445870865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Traditional Governance,0.026509977461515694,2650997.7461515693,0.0,0.0,0.026509977461515694,2650997.7461515693,4.169229595986952,4.082440356437852,4.082440356437852,4.082440356437852,273.6274339574344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Traditional Governance,0.04668790975916117,4668790.975916117,0.0,0.0,0.04668790975916117,4668790.975916117,3.840900334085603,3.929005418537021,3.929005418537021,3.929005418537021,296.65674342011425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Traditional Governance,0.039632399790484725,3963239.9790484724,0.0,0.0,0.039632399790484725,3963239.9790484724,4.334559161847321,4.118877356403197,4.118877356403197,4.118877356403197,279.0898310999521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Traditional Governance,0.040188218172759305,4018821.8172759307,0.0,0.0,0.040188218172759305,4018821.8172759307,5.695135335249753,4.0723995233767685,4.0723995233767685,4.0723995233767685,310.30303290182604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Traditional Governance,0.02759283443148839,2759283.443148839,0.0,0.0,0.02759283443148839,2759283.443148839,3.9026744535398654,4.279064801449712,4.279064801449712,4.279064801449712,292.46631207885275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Traditional Governance,0.03423635037686995,3423635.037686995,0.0,0.0,0.03423635037686995,3423635.037686995,4.19788678321591,3.5012569298458622,3.5012569298458622,3.5012569298458622,322.26982370785254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Traditional Governance,0.03291739567036102,3291739.567036102,0.0,0.0,0.03291739567036102,3291739.567036102,4.887801467110334,3.9509917239946217,3.9509917239946217,3.9509917239946217,314.5465480723776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Traditional Governance,0.04425928967651832,4425928.967651832,0.0,0.0,0.04425928967651832,4425928.967651832,4.5138380044149455,4.37676112040946,4.37676112040946,4.37676112040946,298.51838798840333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
