scenario,metric,mean,median,p10,p25,p75,p90,standard_deviation
Blockchain-Enabled Governance,mobilization_ratio,4.335086791752219,4.334054601472535,3.7932305942149283,4.039950567091525,4.618845868717525,4.887595166899527,0.4146582472444113
Blockchain-Enabled Governance,gross_mobilization_ratio,4.9763508598105775,4.97619879602676,4.414652929418331,4.673625870240577,5.278087280400332,5.539357001308081,0.42203449725062037
Blockchain-Enabled Governance,net_mobilization_ratio,4.335086791752219,4.334054601472535,3.7932305942149283,4.039950567091525,4.618845868717525,4.887595166899527,0.4146582472444113
Blockchain-Enabled Governance,monitoring_cost_pct,0.027957285880006726,0.0278909319955417,0.021177561308001015,0.024288788396435203,0.031517003873138286,0.03479415949369509,0.00511357845756311
Blockchain-Enabled Governance,monitoring_cost_euro,2795728.588000673,2789093.1995541696,2117756.1308001014,2428878.8396435203,3151700.387313829,3479415.949369509,511357.845756311
Blockchain-Enabled Governance,implementation_cost_pct,0.005651853486132401,0.005521477740738251,0.003549757821357249,0.004439661327255505,0.006789598212909813,0.008015649478931883,0.0016500427716714533
Blockchain-Enabled Governance,implementation_cost_euro,565185.34861324,552147.774073825,354975.7821357249,443966.1327255505,678959.8212909814,801564.9478931883,165004.27716714534
Blockchain-Enabled Governance,total_governance_cost_pct,0.03360913936613913,0.03352099247520687,0.02655793373969199,0.02978652105716084,0.037341078490982706,0.040687394097075724,0.005394532842766518
Blockchain-Enabled Governance,total_governance_cost_euro,3360913.936613913,3352099.247520687,2655793.373969199,2978652.105716084,3734107.8490982708,4068739.409707572,539453.2842766517
Blockchain-Enabled Governance,disbursement_lag_months,3.230690503126499,3.222202854530549,2.6027226384389928,2.891913936404159,3.559279887386068,3.8619103298834077,0.4741452476604905
Blockchain-Enabled Governance,risk_premium_bps,274.88988617723123,275.2208143590283,246.0410083554545,259.1880707212806,290.1597337367243,303.483378513418,21.603043080603058
Blockchain-Enabled Governance,gross_benefit,0.24338537001557556,0.24357802894889385,0.20707063528266514,0.22354646928178334,0.26247429337834843,0.2794876716436498,0.0279004588088329
Blockchain-Enabled Governance,penalty_factor,0.16026170563343975,0.1586115064523403,0.10565925479980354,0.1299692692544373,0.18889072684416985,0.21755656878390575,0.04295917851844459
Blockchain-Enabled Governance,net_benefit,0.08312366438213578,0.0838685807741528,0.014600287852295201,0.048297996786549065,0.11962023465514857,0.15035773613328318,0.05282889924165395
Blockchain-Enabled Governance,effective_risk_premium_reduction_bps,25.212432937217716,25.160802982888306,15.881608638633463,20.235728364348358,30.080928161259877,34.56955960794807,6.942916360667067
Traditional Governance,mobilization_ratio,4.0021892722908206,4.001692809431994,3.562254340301222,3.7692283050324047,4.242590669667598,4.4365877446724795,0.3264425103205348
Traditional Governance,gross_mobilization_ratio,4.0021892722908206,4.001692809431994,3.562254340301222,3.7692283050324047,4.242590669667598,4.4365877446724795,0.3264425103205348
Traditional Governance,net_mobilization_ratio,4.0021892722908206,4.001692809431994,3.562254340301222,3.7692283050324047,4.242590669667598,4.4365877446724795,0.3264425103205348
Traditional Governance,monitoring_cost_pct,0.03494429160405045,0.034974500693669,0.026761569966855046,0.030522219108439223,0.03930210134390617,0.04320368683902374,0.00611675842686381
Traditional Governance,monitoring_cost_euro,3494429.1604050463,3497450.0693669007,2676156.9966855044,3052221.9108439223,3930210.1343906177,4320368.683902374,611675.842686381
Traditional Governance,implementation_cost_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traditional Governance,implementation_cost_euro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traditional Governance,total_governance_cost_pct,0.03494429160405045,0.034974500693669,0.026761569966855046,0.030522219108439223,0.03930210134390617,0.04320368683902374,0.00611675842686381
Traditional Governance,total_governance_cost_euro,3494429.1604050463,3497450.0693669007,2676156.9966855044,3052221.9108439223,3930210.1343906177,4320368.683902374,611675.842686381
Traditional Governance,disbursement_lag_months,4.5056403338783815,4.511524627794967,3.679459910798097,4.060610223845341,4.943464999445122,5.3306805417241625,0.6133226916899307
Traditional Governance,risk_premium_bps,300.1023191144489,300.2831505505119,272.43070112423015,285.16858201555385,314.75178118288216,327.8728401229466,20.479011753475607
Traditional Governance,gross_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traditional Governance,penalty_factor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traditional Governance,net_benefit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traditional Governance,effective_risk_premium_reduction_bps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
